,ExtractMethod,InlineMethod,MoveMethod,RenameMethod
3196,1,0,0,0
2087,0,0,0,1
1889,1,0,0,0
1591,1,0,0,0
3532,0,0,1,0
2162,1,0,0,0
2402,1,0,0,0
2271,0,1,0,0
3224,1,0,0,0
1137,1,0,0,0
2554,1,0,0,0
3768,1,0,0,0
3788,1,0,0,0
1711,1,0,0,0
3306,1,0,0,0
453,0,0,0,1
913,1,0,0,0
2677,1,0,0,0
1199,1,0,0,0
1274,0,0,1,0
37,1,0,0,0
974,1,0,0,0
983,0,0,0,1
2670,0,0,0,1
1418,1,0,0,0
1560,0,0,0,1
39,0,0,0,1
1486,1,0,0,0
2550,1,0,0,0
169,0,0,0,1
1355,1,0,0,0
2672,0,0,1,0
3601,0,0,0,1
2622,1,0,0,0
2634,1,0,0,0
1640,1,0,0,0
1290,1,0,0,0
1380,0,1,0,0
1933,1,0,0,0
579,1,0,0,0
2030,0,0,1,0
892,1,0,0,0
780,1,0,0,0
159,1,0,0,0
2,1,0,0,0
3841,1,0,0,0
3626,1,0,0,0
849,0,0,0,1
2408,0,0,0,1
1596,0,0,0,1
1776,1,0,0,0
1913,1,0,0,0
1043,0,1,0,0
1544,0,0,0,1
2439,1,0,0,0
53,1,0,0,0
3860,0,0,0,1
1911,1,0,0,0
2830,1,0,0,0
2992,1,0,0,0
2889,0,0,0,1
824,0,0,0,1
3742,0,0,1,0
1389,1,0,0,0
3277,1,0,0,0
3082,0,0,0,1
1607,1,0,0,0
1594,0,1,0,0
771,0,0,1,0
2273,0,0,0,1
1868,1,0,0,0
1085,1,0,0,0
3821,1,0,0,0
1325,1,0,0,0
1463,0,0,0,1
806,1,0,0,0
2458,0,0,0,1
2802,0,0,0,1
2108,0,0,0,1
2834,0,0,0,1
3936,1,0,0,0
2234,1,0,0,0
963,0,0,0,1
398,1,0,0,0
3754,1,0,0,0
704,1,0,0,0
431,1,0,0,0
292,1,0,0,0
3783,0,0,1,0
145,1,0,0,0
2728,1,0,0,0
2033,1,0,0,0
2804,1,0,0,0
1165,0,1,0,0
2050,1,0,0,0
3058,1,0,0,0
339,0,0,0,1
2459,1,0,0,0
265,1,0,0,0
3111,1,0,0,0
1771,1,0,0,0
271,0,0,0,1
696,0,0,0,1
3971,0,0,0,1
244,0,0,0,1
3760,0,0,0,1
476,0,0,0,1
2032,0,0,0,1
3399,0,0,0,1
3692,1,0,0,0
813,0,0,0,1
1914,1,0,0,0
3374,1,0,0,0
3942,0,0,1,0
1804,0,0,0,1
3465,0,0,0,1
250,1,0,0,0
545,1,0,0,0
738,0,0,1,0
310,1,0,0,0
1131,0,1,0,0
1449,1,0,0,0
3880,0,1,0,0
15,1,0,0,0
3509,0,0,0,1
2936,1,0,0,0
3212,0,0,0,1
363,1,0,0,0
182,0,0,1,0
1194,1,0,0,0
2477,1,0,0,0
1121,0,0,0,1
3882,1,0,0,0
1182,1,0,0,0
2922,1,0,0,0
614,0,1,0,0
1466,1,0,0,0
401,0,0,1,0
934,1,0,0,0
2419,1,0,0,0
2637,1,0,0,0
2629,0,0,1,0
726,0,0,0,1
826,1,0,0,0
1521,0,0,0,1
136,1,0,0,0
628,0,0,0,1
334,1,0,0,0
390,0,0,0,1
3573,0,1,0,0
1817,0,0,0,1
3600,1,0,0,0
710,1,0,0,0
1039,1,0,0,0
3534,0,0,0,1
3456,0,1,0,0
1561,0,0,0,1
3676,0,0,1,0
3352,1,0,0,0
1112,1,0,0,0
1223,0,0,0,1
2661,1,0,0,0
2421,1,0,0,0
1508,0,0,1,0
1750,0,0,0,1
3584,1,0,0,0
338,1,0,0,0
215,1,0,0,0
1341,1,0,0,0
3346,0,0,1,0
3746,1,0,0,0
2582,1,0,0,0
2486,1,0,0,0
2694,1,0,0,0
2322,1,0,0,0
101,1,0,0,0
2852,1,0,0,0
171,1,0,0,0
107,1,0,0,0
2903,0,0,0,1
3988,0,0,0,1
2924,1,0,0,0
2664,1,0,0,0
2980,1,0,0,0
2706,0,0,0,1
2884,1,0,0,0
3240,0,0,1,0
3106,0,0,0,1
3431,1,0,0,0
1040,1,0,0,0
2781,0,0,0,1
2120,1,0,0,0
1524,1,0,0,0
3411,1,0,0,0
2248,1,0,0,0
481,1,0,0,0
3158,1,0,0,0
2946,0,0,1,0
1762,1,0,0,0
3253,1,0,0,0
3383,0,0,0,1
2754,0,1,0,0
2721,0,0,1,0
405,1,0,0,0
757,1,0,0,0
2641,1,0,0,0
97,0,0,0,1
1333,1,0,0,0
3172,1,0,0,0
3694,0,0,0,1
2788,1,0,0,0
2058,0,0,0,1
3133,0,0,0,1
148,1,0,0,0
28,1,0,0,0
3149,1,0,0,0
3794,1,0,0,0
692,0,0,0,1
1386,1,0,0,0
1845,1,0,0,0
2727,1,0,0,0
1599,0,0,0,1
701,0,0,0,1
1708,0,0,1,0
454,0,0,1,0
2040,0,0,0,1
3043,0,0,1,0
2315,0,0,0,1
609,0,1,0,0
167,0,0,0,1
730,0,0,0,1
2864,1,0,0,0
3700,0,0,0,1
2646,0,0,0,1
1622,1,0,0,0
587,0,1,0,0
1401,1,0,0,0
1700,0,0,0,1
2905,1,0,0,0
3143,1,0,0,0
1379,1,0,0,0
2089,1,0,0,0
2175,1,0,0,0
2867,0,0,1,0
2564,0,0,0,1
3235,0,0,0,1
441,0,1,0,0
2051,0,0,0,1
2541,1,0,0,0
1301,1,0,0,0
3381,0,0,1,0
1304,1,0,0,0
236,1,0,0,0
520,1,0,0,0
735,1,0,0,0
3538,0,0,1,0
2106,0,0,0,1
592,0,0,0,1
1303,0,0,0,1
1387,1,0,0,0
2591,1,0,0,0
2958,1,0,0,0
3721,1,0,0,0
904,0,0,0,1
3386,1,0,0,0
1279,1,0,0,0
3188,0,0,0,1
3912,0,0,0,1
2308,0,0,0,1
3275,1,0,0,0
3274,1,0,0,0
3163,1,0,0,0
706,1,0,0,0
3522,0,1,0,0
745,1,0,0,0
1939,1,0,0,0
3329,1,0,0,0
513,1,0,0,0
81,0,0,0,1
1308,1,0,0,0
3313,0,0,0,1
914,1,0,0,0
3704,1,0,0,0
3665,1,0,0,0
774,0,1,0,0
329,1,0,0,0
2054,0,0,0,1
2001,0,0,0,1
943,1,0,0,0
822,1,0,0,0
909,1,0,0,0
2516,1,0,0,0
181,0,0,1,0
164,1,0,0,0
1523,1,0,0,0
451,1,0,0,0
2538,1,0,0,0
1311,0,0,0,1
1111,0,0,0,1
3310,0,0,0,1
1287,0,0,0,1
327,1,0,0,0
1790,1,0,0,0
2490,1,0,0,0
3542,1,0,0,0
2007,0,0,0,1
1858,1,0,0,0
312,0,0,0,1
832,1,0,0,0
1201,1,0,0,0
3198,1,0,0,0
2615,0,0,0,1
2134,0,0,0,1
2209,0,1,0,0
3081,1,0,0,0
1481,1,0,0,0
777,1,0,0,0
799,0,0,0,1
54,0,0,0,1
1920,1,0,0,0
3443,1,0,0,0
2918,1,0,0,0
1701,0,0,1,0
2161,1,0,0,0
3759,1,0,0,0
987,1,0,0,0
3276,1,0,0,0
2856,0,0,0,1
1394,0,1,0,0
768,0,0,0,1
3537,1,0,0,0
285,1,0,0,0
3515,0,0,0,1
428,0,0,1,0
2332,0,1,0,0
2079,0,0,0,1
722,1,0,0,0
951,1,0,0,0
3036,1,0,0,0
2262,0,0,0,1
989,1,0,0,0
3727,0,0,1,0
3871,1,0,0,0
326,1,0,0,0
2608,0,0,0,1
1383,1,0,0,0
1724,0,0,0,1
1086,1,0,0,0
3204,0,0,0,1
341,1,0,0,0
147,1,0,0,0
3103,1,0,0,0
1107,0,0,0,1
848,1,0,0,0
966,1,0,0,0
3270,0,0,0,1
2203,1,0,0,0
661,1,0,0,0
1002,1,0,0,0
3107,1,0,0,0
3580,0,1,0,0
3516,0,0,1,0
3541,0,0,0,1
1879,1,0,0,0
3764,1,0,0,0
1203,0,0,0,1
1990,1,0,0,0
24,1,0,0,0
3755,1,0,0,0
2691,1,0,0,0
2759,0,0,1,0
3056,0,1,0,0
875,0,1,0,0
3595,0,1,0,0
938,0,0,0,1
2394,0,0,0,1
3332,1,0,0,0
3968,1,0,0,0
385,0,0,0,1
3047,0,0,0,1
3334,0,0,0,1
2917,1,0,0,0
2291,0,0,0,1
3340,0,0,0,1
936,1,0,0,0
3437,1,0,0,0
2360,0,0,0,1
3904,1,0,0,0
1332,1,0,0,0
1934,1,0,0,0
935,1,0,0,0
2418,0,0,0,1
566,1,0,0,0
1854,0,0,1,0
3217,1,0,0,0
2467,1,0,0,0
1645,1,0,0,0
3373,0,0,0,1
1792,0,0,0,1
1430,0,1,0,0
3079,0,0,0,1
1013,1,0,0,0
1928,0,0,0,1
2989,0,0,0,1
126,1,0,0,0
2780,1,0,0,0
1347,1,0,0,0
355,1,0,0,0
827,1,0,0,0
1639,1,0,0,0
984,1,0,0,0
2188,1,0,0,0
3539,1,0,0,0
2443,1,0,0,0
362,1,0,0,0
2349,0,0,0,1
345,0,0,0,1
3957,0,0,0,1
3384,1,0,0,0
711,1,0,0,0
3962,0,0,0,1
3358,1,0,0,0
10,1,0,0,0
3205,1,0,0,0
2116,0,0,0,1
1834,1,0,0,0
793,0,0,0,1
3686,1,0,0,0
2674,1,0,0,0
94,0,0,0,1
129,1,0,0,0
2371,0,0,0,1
2973,1,0,0,0
3877,0,0,0,1
2263,0,0,1,0
1900,1,0,0,0
3414,1,0,0,0
3180,1,0,0,0
1932,1,0,0,0
2847,1,0,0,0
1865,1,0,0,0
1658,1,0,0,0
516,1,0,0,0
1857,1,0,0,0
2645,0,0,1,0
2243,1,0,0,0
1277,1,0,0,0
3862,1,0,0,0
950,1,0,0,0
1120,1,0,0,0
2597,1,0,0,0
2204,0,0,0,1
419,0,0,0,1
922,1,0,0,0
2921,0,0,1,0
477,1,0,0,0
2035,1,0,0,0
2891,0,0,0,1
1692,1,0,0,0
3271,0,0,0,1
1471,1,0,0,0
2601,1,0,0,0
1202,0,0,0,1
2438,1,0,0,0
2626,0,0,0,1
1669,1,0,0,0
3703,1,0,0,0
1970,0,0,0,1
2151,1,0,0,0
820,1,0,0,0
1997,0,0,0,1
3830,0,0,0,1
1248,1,0,0,0
2916,1,0,0,0
2712,0,0,1,0
3548,1,0,0,0
2190,1,0,0,0
3484,1,0,0,0
1046,1,0,0,0
1888,1,0,0,0
2469,0,1,0,0
615,1,0,0,0
1318,0,0,0,1
3852,0,0,0,1
3892,0,0,0,1
3908,1,0,0,0
2136,1,0,0,0
3264,0,0,0,1
1772,1,0,0,0
3940,1,0,0,0
131,1,0,0,0
2858,1,0,0,0
77,1,0,0,0
2052,1,0,0,0
724,1,0,0,0
1314,1,0,0,0
1851,0,0,0,1
3901,0,0,0,1
3472,1,0,0,0
3301,1,0,0,0
1372,0,0,1,0
1855,1,0,0,0
1319,1,0,0,0
2560,1,0,0,0
3838,0,1,0,0
3252,1,0,0,0
3951,1,0,0,0
375,0,0,0,1
1908,1,0,0,0
333,0,0,0,1
2994,1,0,0,0
3398,0,0,0,1
2365,1,0,0,0
1604,1,0,0,0
1118,0,0,0,1
3779,1,0,0,0
1943,0,0,0,1
3956,1,0,0,0
2376,0,0,0,1
3353,0,0,0,1
1342,1,0,0,0
320,0,0,0,1
1619,0,0,0,1
3566,0,0,1,0
2060,1,0,0,0
2219,1,0,0,0
1673,1,0,0,0
1942,0,0,0,1
260,0,0,0,1
3121,1,0,0,0
2039,0,0,0,1
689,0,0,0,1
901,0,1,0,0
2306,0,0,0,1
2026,1,0,0,0
138,0,0,0,1
1917,1,0,0,0
1828,0,0,0,1
1573,0,0,0,1
319,0,0,0,1
653,0,0,0,1
2137,1,0,0,0
3378,0,0,0,1
558,0,0,0,1
2187,0,0,0,1
112,0,0,0,1
531,1,0,0,0
224,0,0,0,1
723,1,0,0,0
3220,1,0,0,0
3491,0,0,0,1
1433,1,0,0,0
2373,0,0,0,1
3091,0,0,0,1
3182,1,0,0,0
1458,0,0,0,1
3603,1,0,0,0
2762,1,0,0,0
846,0,0,0,1
193,1,0,0,0
1464,0,1,0,0
2621,0,0,1,0
946,0,1,0,0
2021,0,0,0,1
2551,1,0,0,0
1629,1,0,0,0
117,1,0,0,0
645,0,0,0,1
1870,1,0,0,0
3,0,0,0,1
74,1,0,0,0
1755,1,0,0,0
467,0,1,0,0
5,1,0,0,0
1246,0,0,0,1
919,0,0,0,1
2595,0,1,0,0
228,0,0,0,1
1063,1,0,0,0
2590,0,0,0,1
242,1,0,0,0
3027,0,0,1,0
1160,1,0,0,0
3273,0,0,0,1
3345,0,0,0,1
2968,1,0,0,0
2563,0,0,0,1
2671,1,0,0,0
1526,1,0,0,0
1605,1,0,0,0
3717,0,0,1,0
3977,0,0,0,1
2709,0,0,0,1
3088,1,0,0,0
3388,1,0,0,0
1989,1,0,0,0
3403,1,0,0,0
2362,1,0,0,0
1975,1,0,0,0
1761,0,0,0,1
1305,1,0,0,0
2739,0,0,0,1
1541,1,0,0,0
3470,0,0,0,1
2472,1,0,0,0
2642,1,0,0,0
2795,0,0,0,1
622,0,0,0,1
3071,1,0,0,0
1493,1,0,0,0
110,1,0,0,0
2275,0,0,0,1
3525,1,0,0,0
1169,1,0,0,0
3265,0,0,0,1
232,0,0,0,1
66,0,0,0,1
3610,1,0,0,0
2072,1,0,0,0
2192,0,0,0,1
536,1,0,0,0
2859,0,0,1,0
125,1,0,0,0
2133,0,0,0,1
1254,1,0,0,0
3299,1,0,0,0
1976,1,0,0,0
3266,1,0,0,0
3085,1,0,0,0
2075,0,1,0,0
484,0,0,1,0
1654,1,0,0,0
3569,0,1,0,0
3010,0,0,0,1
3315,0,0,0,1
3042,1,0,0,0
3635,0,0,0,1
1774,0,0,1,0
2410,0,1,0,0
3591,0,0,0,1
918,1,0,0,0
1646,1,0,0,0
1026,1,0,0,0
1030,1,0,0,0
882,0,0,0,1
1335,1,0,0,0
2746,0,1,0,0
3504,1,0,0,0
2713,0,0,0,1
364,0,0,0,1
2125,1,0,0,0
27,1,0,0,0
473,1,0,0,0
525,0,0,0,1
725,0,1,0,0
55,1,0,0,0
638,0,0,0,1
302,0,0,0,1
2766,0,0,0,1
3476,1,0,0,0
1276,1,0,0,0
3511,1,0,0,0
624,0,0,0,1
2055,1,0,0,0
1280,1,0,0,0
2851,0,0,0,1
1049,0,0,0,1
336,0,0,0,1
47,1,0,0,0
2878,1,0,0,0
106,0,1,0,0
2397,1,0,0,0
1079,1,0,0,0
2286,1,0,0,0
2261,0,0,0,1
1144,1,0,0,0
3169,1,0,0,0
2296,1,0,0,0
2841,1,0,0,0
1836,1,0,0,0
1753,0,0,0,1
1101,0,0,0,1
1968,0,0,0,1
3016,1,0,0,0
3658,1,0,0,0
523,0,0,0,1
2280,0,0,0,1
2692,0,0,0,1
2885,1,0,0,0
1428,0,1,0,0
2581,1,0,0,0
3475,1,0,0,0
603,0,0,0,1
1489,1,0,0,0
3117,1,0,0,0
3238,0,0,0,1
60,1,0,0,0
3666,0,0,0,1
671,1,0,0,0
92,1,0,0,0
666,1,0,0,0
1887,1,0,0,0
280,1,0,0,0
1719,0,0,0,1
3023,1,0,0,0
359,0,0,0,1
899,1,0,0,0
1935,1,0,0,0
1994,0,0,0,1
3070,1,0,0,0
2895,1,0,0,0
760,1,0,0,0
2158,1,0,0,0
3495,1,0,0,0
42,1,0,0,0
2173,1,0,0,0
204,0,0,1,0
1473,1,0,0,0
2100,0,0,0,1
2593,0,0,0,1
68,0,0,0,1
1875,1,0,0,0
2832,0,1,0,0
3160,1,0,0,0
2231,0,1,0,0
137,1,0,0,0
2947,1,0,0,0
796,1,0,0,0
2180,1,0,0,0
2128,1,0,0,0
758,0,0,1,0
541,0,0,0,1
1019,0,0,0,1
3038,1,0,0,0
165,1,0,0,0
248,1,0,0,0
1331,1,0,0,0
2017,0,0,0,1
446,1,0,0,0
2482,1,0,0,0
2906,1,0,0,0
1358,1,0,0,0
2845,1,0,0,0
2145,1,0,0,0
1329,1,0,0,0
3981,1,0,0,0
2785,0,1,0,0
3883,1,0,0,0
2150,0,1,0,0
434,1,0,0,0
2122,1,0,0,0
577,1,0,0,0
2900,1,0,0,0
4007,1,0,0,0
2966,1,0,0,0
3829,0,0,1,0
3657,0,1,0,0
2448,1,0,0,0
1848,0,0,0,1
762,1,0,0,0
3037,1,0,0,0
388,1,0,0,0
235,1,0,0,0
3473,1,0,0,0
1984,0,1,0,0
267,1,0,0,0
770,0,1,0,0
2165,1,0,0,0
437,1,0,0,0
673,1,0,0,0
249,1,0,0,0
2201,1,0,0,0
1574,0,0,0,1
2142,0,1,0,0
2081,1,0,0,0
3489,0,0,0,1
3423,1,0,0,0
3654,1,0,0,0
448,1,0,0,0
1469,0,0,0,1
716,1,0,0,0
3739,0,0,0,1
3982,1,0,0,0
2048,0,0,0,1
1901,1,0,0,0
3318,0,0,0,1
1168,0,0,0,1
82,1,0,0,0
3214,1,0,0,0
2724,0,0,0,1
3044,1,0,0,0
1460,1,0,0,0
2818,0,0,1,0
1893,1,0,0,0
1668,1,0,0,0
2756,0,0,0,1
2000,0,0,0,1
475,1,0,0,0
517,1,0,0,0
3454,1,0,0,0
404,1,0,0,0
384,1,0,0,0
3226,0,0,0,1
2152,1,0,0,0
1633,1,0,0,0
3819,1,0,0,0
688,1,0,0,0
3239,0,0,0,1
2874,1,0,0,0
1240,1,0,0,0
62,1,0,0,0
852,1,0,0,0
3668,1,0,0,0
3290,1,0,0,0
1262,1,0,0,0
223,0,0,0,1
2193,1,0,0,0
373,0,0,0,1
1824,1,0,0,0
3372,1,0,0,0
3832,0,0,1,0
3460,0,0,0,1
3579,1,0,0,0
2871,1,0,0,0
9,1,0,0,0
2497,0,0,0,1
1944,1,0,0,0
1838,1,0,0,0
708,0,0,0,1
255,1,0,0,0
2930,1,0,0,0
1617,0,0,0,1
389,1,0,0,0
1581,1,0,0,0
2956,1,0,0,0
924,1,0,0,0
3699,1,0,0,0
3250,0,0,0,1
2508,1,0,0,0
2036,1,0,0,0
3189,1,0,0,0
1224,1,0,0,0
3006,1,0,0,0
2549,1,0,0,0
1946,1,0,0,0
739,0,0,0,1
40,1,0,0,0
868,1,0,0,0
2779,1,0,0,0
539,0,1,0,0
2745,1,0,0,0
3338,0,0,0,1
2723,1,0,0,0
1371,1,0,0,0
1145,0,0,0,1
1031,0,0,0,1
372,1,0,0,0
667,1,0,0,0
3019,1,0,0,0
357,0,0,0,1
967,1,0,0,0
2831,0,0,0,1
2783,1,0,0,0
1353,1,0,0,0
1035,0,0,0,1
3018,0,0,0,1
470,1,0,0,0
3452,0,1,0,0
1396,1,0,0,0
3493,1,0,0,0
1549,1,0,0,0
1256,1,0,0,0
2094,1,0,0,0
1555,1,0,0,0
3593,1,0,0,0
1250,1,0,0,0
1699,0,0,0,1
1252,1,0,0,0
3688,0,0,0,1
3712,1,0,0,0
2933,1,0,0,0
79,1,0,0,0
1172,1,0,0,0
814,1,0,0,0
1852,0,0,0,1
2220,0,0,0,1
2719,1,0,0,0
3502,1,0,0,0
2105,0,0,0,1
133,1,0,0,0
1140,0,1,0,0
933,1,0,0,0
928,0,0,1,0
823,1,0,0,0
1531,0,0,1,0
1214,1,0,0,0
504,1,0,0,0
3959,0,0,0,1
2395,0,0,0,1
1996,1,0,0,0
2434,0,0,0,1
3072,1,0,0,0
1958,1,0,0,0
1384,1,0,0,0
894,1,0,0,0
828,1,0,0,0
3898,1,0,0,0
2523,1,0,0,0
1683,0,0,0,1
3765,0,1,0,0
3405,0,0,1,0
3899,0,0,0,1
652,1,0,0,0
172,0,0,0,1
3197,1,0,0,0
38,1,0,0,0
3822,1,0,0,0
713,0,0,0,1
90,1,0,0,0
3943,0,0,0,1
1205,1,0,0,0
2923,1,0,0,0
3287,0,0,1,0
3442,1,0,0,0
3141,0,0,0,1
1827,0,0,0,1
1155,0,0,0,1
1324,1,0,0,0
216,1,0,0,0
510,1,0,0,0
1680,0,0,0,1
499,0,0,0,1
3377,0,0,0,1
1856,0,0,0,1
1388,0,0,0,1
1519,1,0,0,0
2386,1,0,0,0
3629,1,0,0,0
2076,0,0,0,1
1540,1,0,0,0
1217,1,0,0,0
2681,0,0,0,1
3826,1,0,0,0
2993,1,0,0,0
1416,1,0,0,0
2217,1,0,0,0
3350,1,0,0,0
1676,1,0,0,0
1197,1,0,0,0
1542,1,0,0,0
2960,1,0,0,0
2539,0,0,0,1
953,1,0,0,0
3145,1,0,0,0
3080,1,0,0,0
2635,0,0,1,0
750,0,0,1,0
2705,1,0,0,0
234,1,0,0,0
732,0,0,0,1
3996,0,0,0,1
3614,1,0,0,0
1156,0,0,1,0
3429,1,0,0,0
2445,1,0,0,0
2982,1,0,0,0
1209,1,0,0,0
1065,1,0,0,0
2156,1,0,0,0
1062,0,0,1,0
2616,1,0,0,0
1167,0,0,0,1
3222,1,0,0,0
1492,0,0,0,1
2938,1,0,0,0
2995,1,0,0,0
3096,0,1,0,0
3288,1,0,0,0
3550,1,0,0,0
3140,1,0,0,0
884,0,0,0,1
143,0,0,0,1
3929,1,0,0,0
850,0,0,0,1
2782,1,0,0,0
717,0,0,0,1
3795,1,0,0,0
2502,1,0,0,0
264,1,0,0,0
75,0,0,0,1
2492,1,0,0,0
395,1,0,0,0
3389,1,0,0,0
2224,0,0,0,1
3090,0,0,0,1
3734,1,0,0,0
396,1,0,0,0
1365,1,0,0,0
3323,0,0,0,1
1903,0,1,0,0
595,0,0,0,1
2109,0,0,1,0
1296,1,0,0,0
1821,1,0,0,0
872,1,0,0,0
3455,1,0,0,0
3884,1,0,0,0
2326,0,0,1,0
1548,1,0,0,0
36,1,0,0,0
3483,1,0,0,0
2710,1,0,0,0
3360,0,0,0,1
2143,0,0,0,1
3402,1,0,0,0
977,1,0,0,0
1571,0,0,0,1
1122,1,0,0,0
2786,0,0,0,1
2239,0,0,0,1
2967,1,0,0,0
2504,1,0,0,0
1892,1,0,0,0
675,1,0,0,0
2808,0,0,0,1
3068,1,0,0,0
728,1,0,0,0
412,0,0,0,1
3146,0,0,0,1
1516,1,0,0,0
1649,1,0,0,0
825,1,0,0,0
3267,1,0,0,0
616,0,0,0,1
114,1,0,0,0
417,1,0,0,0
3069,1,0,0,0
1625,0,0,0,1
3017,1,0,0,0
2652,0,0,0,1
3924,0,0,0,1
89,1,0,0,0
2896,1,0,0,0
3488,0,1,0,0
2082,0,0,0,1
753,0,1,0,0
2546,1,0,0,0
3324,1,0,0,0
1630,1,0,0,0
11,1,0,0,0
2444,1,0,0,0
284,1,0,0,0
1066,1,0,0,0
1191,0,1,0,0
1440,1,0,0,0
3752,0,0,0,1
3738,1,0,0,0
2738,1,0,0,0
3613,0,0,0,1
1568,1,0,0,0
2427,0,0,0,1
2737,0,0,0,1
3433,1,0,0,0
1687,0,0,0,1
851,1,0,0,0
2207,1,0,0,0
895,0,0,0,1
496,1,0,0,0
2305,1,0,0,0
1782,0,0,0,1
335,0,0,0,1
2839,0,1,0,0
3087,1,0,0,0
515,1,0,0,0
1348,0,0,0,1
1015,1,0,0,0
2816,1,0,0,0
3751,1,0,0,0
3745,1,0,0,0
2809,1,0,0,0
3294,1,0,0,0
3251,0,1,0,0
3427,1,0,0,0
3991,0,0,1,0
1781,0,0,0,1
2569,0,0,0,1
1785,0,0,0,1
2070,1,0,0,0
356,1,0,0,0
3809,1,0,0,0
3325,1,0,0,0
1312,0,0,0,1
1635,1,0,0,0
550,1,0,0,0
2388,0,0,0,1
2479,1,0,0,0
2521,1,0,0,0
2265,0,0,0,1
2959,1,0,0,0
1227,1,0,0,0
3574,1,0,0,0
3059,1,0,0,0
957,0,0,0,1
1773,0,0,1,0
2141,0,0,0,1
1008,0,0,0,1
3118,1,0,0,0
1092,0,0,1,0
3565,1,0,0,0
3356,0,0,0,1
2744,0,0,1,0
3891,1,0,0,0
996,1,0,0,0
1679,0,0,0,1
153,1,0,0,0
3147,0,0,0,1
3715,1,0,0,0
2908,1,0,0,0
2837,0,0,0,1
580,0,0,1,0
1470,0,1,0,0
703,1,0,0,0
1212,0,0,0,1
3343,0,0,0,1
896,1,0,0,0
3308,0,0,0,1
487,1,0,0,0
559,0,0,0,1
1141,1,0,0,0
1119,0,0,0,1
2849,1,0,0,0
512,0,0,0,1
633,0,0,0,1
3441,0,0,1,0
1664,0,0,0,1
1012,1,0,0,0
1931,0,0,0,1
1150,1,0,0,0
2838,0,1,0,0
3747,0,0,0,1
116,1,0,0,0
740,1,0,0,0
3684,1,0,0,0
1974,0,0,0,1
1081,1,0,0,0
1810,0,0,1,0
830,1,0,0,0
119,1,0,0,0
656,0,0,0,1
3642,1,0,0,0
3590,0,0,0,1
3913,0,0,0,1
635,0,0,1,0
369,0,1,0,0
268,1,0,0,0
2703,1,0,0,0
2983,1,0,0,0
2870,1,0,0,0
2914,1,0,0,0
46,1,0,0,0
3421,1,0,0,0
3705,1,0,0,0
991,1,0,0,0
876,1,0,0,0
773,0,0,0,1
1219,1,0,0,0
1126,1,0,0,0
4,1,0,0,0
3051,1,0,0,0
1595,0,0,0,1
3124,0,0,0,1
2311,1,0,0,0
3040,0,0,0,1
3835,1,0,0,0
2491,1,0,0,0
3050,1,0,0,0
1077,0,0,0,1
837,1,0,0,0
681,1,0,0,0
1715,0,0,0,1
2352,0,0,0,1
3413,1,0,0,0
2617,1,0,0,0
2361,1,0,0,0
2197,0,0,1,0
1148,0,0,0,1
3261,1,0,0,0
574,0,0,1,0
50,0,0,0,1
853,1,0,0,0
1982,0,0,0,1
2774,0,0,0,1
1823,1,0,0,0
833,0,0,0,1
3425,0,0,0,1
1115,1,0,0,0
1166,1,0,0,0
2518,0,0,1,0
1906,0,0,0,1
971,0,0,0,1
2701,0,0,0,1
399,0,0,0,1
2559,0,0,0,1
2368,0,1,0,0
19,0,0,0,1
684,0,0,0,1
35,1,0,0,0
2950,1,0,0,0
3780,0,0,0,1
2875,1,0,0,0
524,1,0,0,0
2455,1,0,0,0
920,1,0,0,0
1841,1,0,0,0
1890,0,0,1,0
537,1,0,0,0
2806,1,0,0,0
1705,0,0,0,1
3910,0,0,0,1
3110,1,0,0,0
3247,1,0,0,0
245,1,0,0,0
3464,1,0,0,0
3175,1,0,0,0
784,0,0,0,1
1409,0,1,0,0
2537,0,1,0,0
154,1,0,0,0
3009,0,0,0,1
1686,0,1,0,0
2901,1,0,0,0
3359,0,0,1,0
625,0,0,0,1
2733,0,0,0,1
3840,0,0,0,1
1346,0,0,0,1
569,1,0,0,0
3914,1,0,0,0
1758,1,0,0,0
1816,0,0,0,1
2065,1,0,0,0
127,1,0,0,0
3394,1,0,0,0
3327,1,0,0,0
3976,0,0,1,0
2006,0,0,1,0
2975,1,0,0,0
980,0,0,0,1
3972,0,0,0,1
190,0,0,0,1
1139,0,0,0,1
992,1,0,0,0
699,0,0,1,0
3655,1,0,0,0
606,1,0,0,0
180,0,0,1,0
301,1,0,0,0
2544,1,0,0,0
3691,0,0,1,0
3706,1,0,0,0
1060,0,0,0,1
3767,0,0,0,1
3842,1,0,0,0
2565,1,0,0,0
3992,0,0,1,0
1069,1,0,0,0
2524,1,0,0,0
2205,1,0,0,0
1243,0,0,0,1
3243,1,0,0,0
16,1,0,0,0
3120,1,0,0,0
3979,0,0,0,1
546,1,0,0,0
658,1,0,0,0
3606,1,0,0,0
3067,1,0,0,0
3649,0,0,0,1
1504,1,0,0,0
959,1,0,0,0
2926,1,0,0,0
2331,1,0,0,0
797,1,0,0,0
3348,0,1,0,0
225,1,0,0,0
2074,0,0,0,1
3354,0,0,0,1
1799,0,0,0,1
2485,1,0,0,0
3955,0,0,0,1
3436,1,0,0,0
2277,1,0,0,0
2085,0,0,0,1
1693,0,0,0,1
2797,1,0,0,0
1045,0,0,1,0
3446,1,0,0,0
469,1,0,0,0
954,1,0,0,0
3975,1,0,0,0
2735,0,0,0,1
